topology,strategy,fraction,trial,n,beta,gamma,t10,t50,peak_infected,auc,final_size,duration
ER,random,0.01,15,1000,0.15,0.05,5,10.0,705,18688.5,0.973,120
ER,random,0.01,16,1000,0.15,0.05,7,11.0,733,19692.5,0.982,164
ER,random,0.01,17,1000,0.15,0.05,6,10.0,734,19180.5,0.977,152
ER,random,0.01,18,1000,0.15,0.05,7,12.0,711,19196.5,0.979,145
ER,random,0.01,19,1000,0.15,0.05,6,10.0,731,20124.5,0.981,183
ER,random,0.01,20,1000,0.15,0.05,6,11.0,724,18871.5,0.978,158
ER,random,0.01,21,1000,0.15,0.05,8,13.0,715,19766.5,0.97,146
ER,random,0.01,22,1000,0.15,0.05,7,11.0,721,20135.5,0.983,155
ER,random,0.01,23,1000,0.15,0.05,6,10.0,747,18879.5,0.982,148
ER,random,0.01,24,1000,0.15,0.05,6,10.0,740,20750.5,0.985,185
ER,random,0.01,25,1000,0.15,0.05,5,9.0,709,19678.5,0.979,143
ER,random,0.01,26,1000,0.15,0.05,6,11.0,713,19096.5,0.985,140
ER,random,0.01,27,1000,0.15,0.05,6,9.0,702,19131.5,0.975,123
ER,random,0.01,28,1000,0.15,0.05,6,10.0,729,20947.5,0.982,146
ER,random,0.01,29,1000,0.15,0.05,7,11.0,699,19470.5,0.976,138
ER,random,0.01,30,1000,0.15,0.05,8,12.0,733,19622.5,0.984,134
ER,random,0.01,31,1000,0.15,0.05,4,9.0,694,18729.5,0.978,187
ER,random,0.01,32,1000,0.15,0.05,6,10.0,694,18901.5,0.977,178
ER,random,0.01,33,1000,0.15,0.05,5,10.0,727,19624.5,0.981,162
ER,random,0.01,34,1000,0.15,0.05,6,10.0,693,19073.5,0.98,161
ER,random,0.01,35,1000,0.15,0.05,6,10.0,749,19412.5,0.982,126
ER,random,0.01,36,1000,0.15,0.05,5,10.0,728,19224.5,0.978,136
ER,random,0.01,37,1000,0.15,0.05,6,10.0,693,18432.5,0.978,132
ER,random,0.01,38,1000,0.15,0.05,6,10.0,715,18077.5,0.974,119
ER,random,0.01,39,1000,0.15,0.05,6,10.0,725,19900.5,0.979,124
ER,random,0.01,40,1000,0.15,0.05,5,9.0,741,19640.5,0.987,135
ER,random,0.01,41,1000,0.15,0.05,6,10.0,733,20197.5,0.986,149
ER,random,0.01,42,1000,0.15,0.05,6,11.0,728,19269.5,0.981,232
ER,random,0.01,43,1000,0.15,0.05,7,11.0,713,20105.5,0.979,177
ER,random,0.01,44,1000,0.15,0.05,7,11.0,722,20566.5,0.984,167
ER,random,0.01,45,1000,0.15,0.05,7,11.0,732,20488.5,0.983,189
ER,random,0.01,46,1000,0.15,0.05,7,11.0,728,19777.5,0.981,193
ER,random,0.01,47,1000,0.15,0.05,5,9.0,741,20892.5,0.98,197
ER,random,0.01,48,1000,0.15,0.05,6,11.0,728,19320.5,0.984,130
ER,random,0.01,49,1000,0.15,0.05,6,9.0,728,19813.5,0.979,201
ER,random,0.01,50,1000,0.15,0.05,6,10.0,726,19492.5,0.979,148
ER,random,0.01,51,1000,0.15,0.05,6,11.0,714,19408.5,0.979,144
ER,random,0.01,52,1000,0.15,0.05,6,10.0,720,18716.5,0.975,162
ER,random,0.01,53,1000,0.15,0.05,6,10.0,684,18421.5,0.98,138
ER,random,0.01,54,1000,0.15,0.05,6,10.0,733,20147.5,0.98,190
ER,random,0.01,55,1000,0.15,0.05,6,10.0,699,19276.5,0.98,173
ER,random,0.01,56,1000,0.15,0.05,6,10.0,714,18381.5,0.981,138
ER,random,0.01,57,1000,0.15,0.05,6,10.0,732,20046.5,0.984,139
ER,random,0.01,58,1000,0.15,0.05,6,10.0,737,19740.5,0.978,167
ER,random,0.01,59,1000,0.15,0.05,7,11.0,680,18983.5,0.972,129
ER,random,0.01,60,1000,0.15,0.05,7,12.0,735,19722.5,0.984,138
ER,random,0.01,61,1000,0.15,0.05,5,9.0,736,19691.5,0.98,158
ER,random,0.01,62,1000,0.15,0.05,6,10.0,708,19717.5,0.982,181
ER,random,0.01,63,1000,0.15,0.05,6,10.0,690,19256.5,0.981,135
ER,random,0.01,64,1000,0.15,0.05,7,11.0,725,19283.5,0.982,158
ER,random,0.01,65,1000,0.15,0.05,6,10.0,730,19769.5,0.975,123
ER,random,0.01,66,1000,0.15,0.05,7,11.0,718,18818.5,0.978,180
ER,random,0.01,67,1000,0.15,0.05,5,9.0,719,19892.5,0.974,140
ER,random,0.01,68,1000,0.15,0.05,7,12.0,700,19445.5,0.978,166
ER,random,0.01,69,1000,0.15,0.05,7,11.0,697,18856.5,0.977,153
ER,random,0.01,70,1000,0.15,0.05,6,10.0,693,19512.5,0.972,164
ER,random,0.01,71,1000,0.15,0.05,7,11.0,702,19201.5,0.982,140
ER,random,0.01,72,1000,0.15,0.05,5,9.0,756,19949.5,0.976,152
ER,random,0.01,73,1000,0.15,0.05,6,10.0,721,19129.5,0.985,137
ER,random,0.01,74,1000,0.15,0.05,7,12.0,732,18936.5,0.982,174
ER,random,0.01,75,1000,0.15,0.05,7,11.0,736,19653.5,0.983,159
ER,random,0.01,76,1000,0.15,0.05,7,11.0,718,19311.5,0.982,120
ER,random,0.01,77,1000,0.15,0.05,5,10.0,717,19223.5,0.984,143
ER,random,0.01,78,1000,0.15,0.05,7,11.0,744,19613.5,0.977,152
ER,random,0.01,79,1000,0.15,0.05,6,10.0,712,19739.5,0.978,169
ER,random,0.01,80,1000,0.15,0.05,7,10.0,730,20012.5,0.987,159
ER,random,0.01,81,1000,0.15,0.05,5,9.0,716,19839.5,0.976,120
ER,random,0.01,82,1000,0.15,0.05,7,11.0,712,19965.5,0.985,198
ER,random,0.01,83,1000,0.15,0.05,8,12.0,709,19396.5,0.976,288
ER,random,0.01,84,1000,0.15,0.05,7,11.0,692,18225.5,0.98,151
ER,random,0.01,85,1000,0.15,0.05,6,10.0,715,19442.5,0.975,150
ER,random,0.01,86,1000,0.15,0.05,6,11.0,727,20795.5,0.983,147
ER,random,0.01,87,1000,0.15,0.05,7,11.0,727,20841.5,0.976,155
ER,random,0.01,88,1000,0.15,0.05,5,10.0,755,20385.5,0.984,166
ER,random,0.01,89,1000,0.15,0.05,6,11.0,707,19901.5,0.986,145
ER,random,0.01,90,1000,0.15,0.05,6,11.0,687,19618.5,0.979,162
ER,random,0.01,91,1000,0.15,0.05,5,10.0,724,19351.5,0.976,156
ER,random,0.01,92,1000,0.15,0.05,6,10.0,709,18327.5,0.979,161
ER,random,0.01,93,1000,0.15,0.05,6,10.0,700,19994.5,0.981,157
ER,random,0.01,94,1000,0.15,0.05,5,9.0,701,19736.5,0.98,143
ER,random,0.01,95,1000,0.15,0.05,6,9.0,736,19510.5,0.983,124
ER,random,0.01,96,1000,0.15,0.05,7,11.0,739,20284.5,0.982,185
ER,random,0.01,97,1000,0.15,0.05,5,9.0,725,19409.5,0.979,161
ER,random,0.01,98,1000,0.15,0.05,7,11.0,719,20067.5,0.981,150
ER,random,0.01,99,1000,0.15,0.05,7,11.0,706,19451.5,0.979,181
ER,random,0.05,0,1000,0.15,0.05,6,10.0,674,18231.5,0.936,222
ER,random,0.05,1,1000,0.15,0.05,8,12.0,695,19766.5,0.938,178
ER,random,0.05,2,1000,0.15,0.05,7,12.0,677,19243.5,0.935,198
ER,random,0.05,3,1000,0.15,0.05,5,10.0,652,18546.5,0.941,123
ER,random,0.05,4,1000,0.15,0.05,6,10.0,668,18672.5,0.941,138
ER,random,0.05,5,1000,0.15,0.05,6,10.0,670,18449.5,0.939,191
ER,random,0.05,6,1000,0.15,0.05,6,11.0,697,18211.5,0.932,144
ER,random,0.05,7,1000,0.15,0.05,6,11.0,688,18425.5,0.934,179
ER,random,0.05,8,1000,0.15,0.05,6,11.0,647,18961.5,0.936,158
ER,random,0.05,9,1000,0.15,0.05,6,10.0,682,18556.5,0.937,148
ER,random,0.05,10,1000,0.15,0.05,8,13.0,688,17819.5,0.94,136
ER,random,0.05,11,1000,0.15,0.05,7,12.0,672,18597.5,0.94,139
ER,random,0.05,12,1000,0.15,0.05,7,12.0,674,19675.5,0.941,145
ER,random,0.05,13,1000,0.15,0.05,6,10.0,689,18560.5,0.942,211
ER,random,0.05,14,1000,0.15,0.05,7,11.0,694,19025.5,0.943,194
ER,random,0.05,15,1000,0.15,0.05,6,11.0,674,17508.5,0.938,157
ER,random,0.05,16,1000,0.15,0.05,7,11.0,697,18547.5,0.94,160
ER,random,0.05,17,1000,0.15,0.05,6,11.0,666,17993.5,0.939,128
ER,random,0.05,18,1000,0.15,0.05,5,10.0,668,18318.5,0.943,118
ER,random,0.05,19,1000,0.15,0.05,7,11.0,685,19077.5,0.943,178
ER,random,0.05,20,1000,0.15,0.05,7,11.0,687,18042.5,0.934,147
ER,random,0.05,21,1000,0.15,0.05,6,11.0,691,19380.5,0.936,130
