topology,trial,beta,t10,t50,peak_infected,final_size,auc,reached_10,reached_50,duration
BA,42,0.05,13.0,29.0,504,0.927,18256.5,True,True,149
BA,42,0.15,6.0,9.0,727,0.995,19810.5,True,True,133
BA,42,0.25,5.0,7.0,792,0.999,19920.5,True,True,202
BA,43,0.05,27.0,,497,0.939,19144.5,True,False,193
BA,43,0.15,6.0,9.0,751,0.997,19598.5,True,True,183
BA,43,0.25,4.0,6.0,804,0.999,19342.5,True,True,149
BA,44,0.05,9.0,22.0,515,0.929,18969.5,True,True,160
BA,44,0.15,4.0,8.0,726,0.995,19902.5,True,True,155
BA,44,0.25,3.0,5.0,803,1.0,19860.5,True,True,121
BA,45,0.05,14.0,,487,0.944,18759.5,True,False,171
BA,45,0.15,4.0,7.0,737,0.995,19634.5,True,True,183
BA,45,0.25,3.0,5.0,817,1.0,19837.5,True,True,112
BA,46,0.05,6.0,,497,0.956,19907.5,True,False,184
BA,46,0.15,3.0,6.0,749,0.993,21021.5,True,True,175
BA,46,0.25,2.0,4.0,824,0.999,20564.5,True,True,124
BA,47,0.05,12.0,,440,0.926,19037.5,True,False,191
BA,47,0.15,7.0,10.0,736,0.995,19890.5,True,True,149
BA,47,0.25,3.0,6.0,813,0.998,20416.5,True,True,164
BA,48,0.05,9.0,,475,0.924,18835.5,True,False,181
BA,48,0.15,5.0,8.0,723,0.996,19937.5,True,True,161
BA,48,0.25,4.0,6.0,807,0.999,19456.5,True,True,120
BA,49,0.05,7.0,,434,0.912,18236.5,True,False,183
BA,49,0.15,4.0,7.0,726,0.993,19415.5,True,True,169
BA,49,0.25,3.0,5.0,826,0.999,19841.5,True,True,163
ER,0,0.05,16.0,,431,0.958,19461.5,True,False,209
ER,0,0.15,5.0,9.0,711,0.989,20175.5,True,True,155
ER,0,0.25,3.0,6.0,825,0.997,21175.5,True,True,160
ER,1,0.05,18.0,,472,0.942,18340.5,True,False,216
ER,1,0.15,7.0,11.0,726,0.991,19446.5,True,True,121
ER,1,0.25,4.0,6.0,801,0.991,19494.5,True,True,131
ER,2,0.05,14.0,,498,0.949,19181.5,True,False,128
ER,2,0.15,6.0,11.0,746,0.992,19884.5,True,True,168
ER,2,0.25,4.0,7.0,815,0.997,19775.5,True,True,157
ER,3,0.05,21.0,,481,0.941,19552.5,True,False,191
ER,3,0.15,5.0,9.0,732,0.99,19640.5,True,True,141
ER,3,0.25,4.0,6.0,815,0.995,19492.5,True,True,148
ER,4,0.05,18.0,,417,0.934,18006.5,True,False,170
ER,4,0.15,7.0,11.0,700,0.995,20015.5,True,True,183
ER,4,0.25,5.0,7.0,804,0.993,19549.5,True,True,147
ER,5,0.05,13.0,,464,0.958,18413.5,True,False,162
ER,5,0.15,5.0,9.0,727,0.992,18681.5,True,True,250
ER,5,0.25,4.0,6.0,827,0.997,18988.5,True,True,147
ER,6,0.05,17.0,,479,0.95,19075.5,True,False,164
ER,6,0.15,6.0,11.0,714,0.991,19879.5,True,True,183
ER,6,0.25,4.0,7.0,801,0.992,20295.5,True,True,126
ER,7,0.05,15.0,,437,0.936,18417.5,True,False,184
ER,7,0.15,6.0,10.0,722,0.993,19156.5,True,True,127
ER,7,0.25,4.0,7.0,804,0.996,19574.5,True,True,133
ER,8,0.05,19.0,,464,0.938,18363.5,True,False,225
ER,8,0.15,7.0,11.0,718,0.987,19593.5,True,True,196
ER,8,0.25,5.0,8.0,784,0.994,19833.5,True,True,136
ER,9,0.05,16.0,,452,0.953,18802.5,True,False,205
ER,9,0.15,6.0,10.0,715,0.988,19405.5,True,True,128
ER,9,0.25,4.0,7.0,796,0.993,19710.5,True,True,141
ER,10,0.05,17.0,,446,0.947,18694.5,True,False,155
ER,10,0.15,6.0,11.0,705,0.986,20182.5,True,True,148
ER,10,0.25,5.0,8.0,829,0.995,20968.5,True,True,201
ER,11,0.05,13.0,,496,0.947,20366.5,True,False,211
ER,11,0.15,6.0,11.0,704,0.988,19723.5,True,True,161
ER,11,0.25,4.0,6.0,837,0.997,20765.5,True,True,198
ER,12,0.05,20.0,,466,0.929,18809.5,True,False,188
ER,12,0.15,7.0,11.0,707,0.981,19199.5,True,True,158
ER,12,0.25,4.0,6.0,784,0.994,19173.5,True,True,140
ER,13,0.05,13.0,,488,0.941,18345.5,True,False,140
ER,13,0.15,6.0,10.0,714,0.987,20415.5,True,True,186
ER,13,0.25,4.0,6.0,792,0.994,20206.5,True,True,153
ER,14,0.05,16.0,,425,0.944,18410.5,True,False,155
ER,14,0.15,5.0,10.0,727,0.996,20469.5,True,True,141
ER,14,0.25,4.0,7.0,814,0.998,20176.5,True,True,154
ER,15,0.05,14.0,,464,0.939,18802.5,True,False,222
ER,15,0.15,4.0,8.0,721,0.989,19524.5,True,True,137
ER,15,0.25,3.0,6.0,795,0.99,19405.5,True,True,148
ER,16,0.05,17.0,,478,0.942,18881.5,True,False,173
ER,16,0.15,5.0,10.0,722,0.993,20119.5,True,True,148
ER,16,0.25,3.0,6.0,816,0.998,20153.5,True,True,117
ER,17,0.05,17.0,,458,0.932,18325.5,True,False,192
ER,17,0.15,6.0,10.0,731,0.994,20171.5,True,True,193
ER,17,0.25,4.0,6.0,824,0.996,19833.5,True,True,172
ER,18,0.05,16.0,,439,0.946,18977.5,True,False,152
ER,18,0.15,5.0,9.0,744,0.995,20065.5,True,True,151
ER,18,0.25,4.0,7.0,814,0.998,20011.5,True,True,111
ER,19,0.05,20.0,,493,0.954,20063.5,True,False,213
ER,19,0.15,9.0,13.0,711,0.992,19998.5,True,True,164
ER,19,0.25,5.0,8.0,812,0.994,20230.5,True,True,150
ER,20,0.05,16.0,,474,0.937,18444.5,True,False,147
ER,20,0.15,5.0,9.0,727,0.987,18824.5,True,True,139
ER,20,0.25,4.0,6.0,819,0.994,19453.5,True,True,172
ER,21,0.05,18.0,,445,0.946,18465.5,True,False,158
ER,21,0.15,6.0,11.0,696,0.989,18340.5,True,True,128
ER,21,0.25,5.0,8.0,801,0.992,19649.5,True,True,142
ER,22,0.05,17.0,,432,0.953,19314.5,True,False,221
ER,22,0.15,6.0,10.0,755,0.995,20819.5,True,True,149
ER,22,0.25,4.0,7.0,819,0.991,20388.5,True,True,123
ER,23,0.05,13.0,,458,0.954,18378.5,True,False,188
ER,23,0.15,5.0,9.0,740,0.992,19968.5,True,True,147
ER,23,0.25,4.0,6.0,812,0.997,20314.5,True,True,150
ER,24,0.05,17.0,,478,0.955,18639.5,True,False,182
ER,24,0.15,8.0,12.0,746,0.996,19445.5,True,True,166
ER,24,0.25,4.0,7.0,814,0.995,19712.5,True,True,142
ER,25,0.05,9.0,,453,0.943,18974.5,True,False,155
ER,25,0.15,4.0,9.0,732,0.99,19997.5,True,True,176
ER,25,0.25,3.0,6.0,830,0.997,20096.5,True,True,128
ER,26,0.05,14.0,,454,0.944,17767.5,True,False,146
ER,26,0.15,6.0,10.0,756,0.993,19322.5,True,True,155
ER,26,0.25,5.0,7.0,806,0.993,18953.5,True,True,167
ER,27,0.05,20.0,,439,0.932,17532.5,True,False,183
ER,27,0.15,6.0,10.0,745,0.984,18897.5,True,True,136
ER,27,0.25,4.0,7.0,813,0.991,19036.5,True,True,151
ER,28,0.05,15.0,,438,0.951,19063.5,True,False,175
ER,28,0.15,7.0,11.0,752,0.993,19835.5,True,True,153
ER,28,0.25,4.0,7.0,836,0.996,20137.5,True,True,151
ER,29,0.05,21.0,,462,0.952,19316.5,True,False,169
ER,29,0.15,7.0,12.0,693,0.991,20367.5,True,True,157
ER,29,0.25,5.0,8.0,812,0.995,20892.5,True,True,185
ER,30,0.05,12.0,,448,0.956,18915.5,True,False,218
ER,30,0.15,5.0,9.0,744,0.991,19862.5,True,True,173
ER,30,0.25,4.0,6.0,810,0.995,19691.5,True,True,191
ER,31,0.05,16.0,34.0,507,0.953,18264.5,True,True,148
ER,31,0.15,6.0,10.0,720,0.991,18969.5,True,True,138
ER,31,0.25,5.0,7.0,807,0.997,19133.5,True,True,204
ER,32,0.05,22.0,,472,0.949,19979.5,True,False,243
ER,32,0.15,7.0,11.0,723,0.996,20491.5,True,True,149
ER,32,0.25,5.0,7.0,815,0.997,21018.5,True,True,141
ER,33,0.05,17.0,,422,0.941,19023.5,True,False,244
ER,33,0.15,6.0,10.0,727,0.987,20105.5,True,True,164
ER,33,0.25,4.0,6.0,819,0.993,20145.5,True,True,132
ER,34,0.05,20.0,,438,0.951,19343.5,True,False,177
ER,34,0.15,6.0,10.0,752,0.995,20421.5,True,True,144
ER,34,0.25,4.0,7.0,808,0.998,19641.5,True,True,151
ER,35,0.05,15.0,,466,0.955,19813.5,True,False,167
ER,35,0.15,7.0,11.0,703,0.992,19823.5,True,True,169
ER,35,0.25,5.0,8.0,806,0.998,20275.5,True,True,149
ER,36,0.05,17.0,,466,0.942,18724.5,True,False,199
ER,36,0.15,6.0,10.0,719,0.991,18788.5,True,True,132
ER,36,0.25,4.0,7.0,798,0.992,18999.5,True,True,168
ER,37,0.05,18.0,,459,0.943,18858.5,True,False,201
ER,37,0.15,7.0,12.0,761,0.992,19848.5,True,True,132
ER,37,0.25,4.0,7.0,807,0.994,19836.5,True,True,163
ER,38,0.05,16.0,,454,0.949,18089.5,True,False,169
ER,38,0.15,6.0,10.0,743,0.99,20051.5,True,True,132
ER,38,0.25,4.0,7.0,811,0.991,20063.5,True,True,156
ER,39,0.05,17.0,,464,0.945,19591.5,True,False,164
ER,39,0.15,6.0,10.0,724,0.99,20562.5,True,True,184
ER,39,0.25,5.0,7.0,813,0.995,20176.5,True,True,156
ER,40,0.05,14.0,,485,0.962,19548.5,True,False,242
ER,40,0.15,6.0,10.0,728,0.99,19358.5,True,True,111
ER,40,0.25,4.0,7.0,827,0.997,19816.5,True,True,190
ER,41,0.05,18.0,,491,0.956,19825.5,True,False,233
ER,41,0.15,6.0,10.0,744,0.991,20079.5,True,True,160
ER,41,0.25,4.0,7.0,813,0.996,19830.5,True,True,139
ER,42,0.05,17.0,,480,0.943,19225.5,True,False,152
ER,42,0.15,6.0,11.0,733,0.99,19066.5,True,True,152
ER,42,0.25,4.0,7.0,803,0.991,19637.5,True,True,162
