topology,trial,n,beta,gamma,t10,t50,peak_infected,auc,final_size,duration
WS,98,1000,0.15,0.05,8,18,657,19756.5,1.0,176
WS,99,1000,0.15,0.05,12,20,612,18936.5,1.0,139
BA,0,1000,0.15,0.05,5,9,716,20029.5,0.989,144
BA,1,1000,0.15,0.05,3,6,731,19070.5,0.987,142
BA,2,1000,0.15,0.05,5,8,737,19752.5,0.995,151
BA,3,1000,0.15,0.05,5,8,749,19516.5,0.992,130
BA,4,1000,0.15,0.05,6,9,754,19648.5,0.993,146
BA,5,1000,0.15,0.05,3,6,719,19111.5,0.991,142
BA,6,1000,0.15,0.05,4,8,754,20644.5,0.995,126
BA,7,1000,0.15,0.05,4,7,731,19681.5,0.992,175
BA,8,1000,0.15,0.05,5,7,739,19387.5,0.996,139
BA,9,1000,0.15,0.05,3,6,735,20223.5,0.997,151
BA,10,1000,0.15,0.05,4,7,718,18317.5,0.995,177
BA,11,1000,0.15,0.05,5,8,767,21464.5,0.996,162
BA,12,1000,0.15,0.05,4,7,749,20124.5,0.996,136
BA,13,1000,0.15,0.05,4,7,738,20247.5,0.998,136
BA,14,1000,0.15,0.05,5,8,731,19575.5,0.991,160
BA,15,1000,0.15,0.05,7,10,719,19749.5,0.996,153
BA,16,1000,0.15,0.05,3,6,741,20535.5,0.995,153
BA,17,1000,0.15,0.05,5,8,773,19660.5,0.994,143
BA,18,1000,0.15,0.05,4,7,753,19780.5,0.998,118
BA,19,1000,0.15,0.05,5,8,735,21328.5,0.994,182
BA,20,1000,0.15,0.05,7,10,720,19738.5,0.995,157
BA,21,1000,0.15,0.05,4,7,743,19986.5,0.997,144
BA,22,1000,0.15,0.05,5,9,741,20214.5,0.996,196
BA,23,1000,0.15,0.05,5,8,734,19762.5,0.991,150
BA,24,1000,0.15,0.05,5,8,707,20050.5,0.992,162
BA,25,1000,0.15,0.05,5,8,751,17667.5,0.997,127
BA,26,1000,0.15,0.05,7,10,756,20631.5,0.996,143
BA,27,1000,0.15,0.05,4,7,731,18926.5,0.998,179
BA,28,1000,0.15,0.05,5,8,733,19906.5,0.993,166
BA,29,1000,0.15,0.05,7,10,729,20183.5,0.997,162
BA,30,1000,0.15,0.05,4,8,711,18416.5,0.992,179
BA,31,1000,0.15,0.05,5,8,724,19835.5,0.995,140
BA,32,1000,0.15,0.05,6,9,715,18608.5,0.997,139
BA,33,1000,0.15,0.05,6,9,744,19984.5,0.994,136
BA,34,1000,0.15,0.05,5,8,747,19767.5,0.996,132
BA,35,1000,0.15,0.05,5,8,713,20322.5,0.996,193
BA,36,1000,0.15,0.05,6,9,753,20655.5,0.995,186
BA,37,1000,0.15,0.05,3,7,756,20295.5,1.0,176
BA,38,1000,0.15,0.05,5,8,730,19625.5,0.997,145
BA,39,1000,0.15,0.05,5,8,722,19410.5,0.994,115
BA,40,1000,0.15,0.05,3,7,739,19832.5,0.993,176
BA,41,1000,0.15,0.05,5,8,738,20535.5,0.999,143
BA,42,1000,0.15,0.05,3,6,754,18449.5,0.995,153
BA,43,1000,0.15,0.05,5,9,738,21007.5,0.999,155
BA,44,1000,0.15,0.05,4,8,704,18862.5,0.995,224
BA,45,1000,0.15,0.05,3,6,745,20185.5,0.997,118
BA,46,1000,0.15,0.05,4,7,761,20471.5,0.998,148
BA,47,1000,0.15,0.05,6,9,748,19302.5,0.998,188
BA,48,1000,0.15,0.05,4,7,730,20510.5,0.996,149
BA,49,1000,0.15,0.05,4,7,729,18870.5,0.991,149
BA,50,1000,0.15,0.05,5,8,710,20947.5,0.995,186
BA,51,1000,0.15,0.05,7,10,765,20161.5,0.995,152
BA,52,1000,0.15,0.05,3,6,733,19386.5,0.995,144
BA,53,1000,0.15,0.05,6,9,714,20448.5,0.995,137
BA,54,1000,0.15,0.05,4,7,753,19845.5,0.997,162
BA,55,1000,0.15,0.05,5,8,731,19982.5,0.995,145
BA,56,1000,0.15,0.05,6,9,746,19951.5,0.994,167
BA,57,1000,0.15,0.05,4,7,751,19994.5,0.996,138
BA,58,1000,0.15,0.05,5,8,752,19056.5,0.996,145
BA,59,1000,0.15,0.05,5,9,732,19325.5,0.993,121
BA,60,1000,0.15,0.05,5,8,734,19659.5,0.999,132
BA,61,1000,0.15,0.05,5,9,723,19471.5,0.991,143
BA,62,1000,0.15,0.05,4,7,732,19099.5,0.996,137
BA,63,1000,0.15,0.05,5,8,729,19710.5,0.993,151
BA,64,1000,0.15,0.05,4,7,740,20361.5,0.993,146
BA,65,1000,0.15,0.05,4,7,755,19451.5,0.996,173
BA,66,1000,0.15,0.05,5,9,724,20448.5,0.987,141
BA,67,1000,0.15,0.05,5,8,767,20709.5,0.998,162
BA,68,1000,0.15,0.05,5,8,731,20130.5,0.992,157
BA,69,1000,0.15,0.05,5,8,742,20677.5,0.996,130
BA,70,1000,0.15,0.05,6,9,715,19601.5,0.994,153
BA,71,1000,0.15,0.05,4,7,740,20345.5,0.998,127
BA,72,1000,0.15,0.05,5,8,771,20343.5,0.997,185
BA,73,1000,0.15,0.05,4,7,751,20777.5,0.997,140
BA,74,1000,0.15,0.05,6,9,765,19945.5,0.998,156
BA,75,1000,0.15,0.05,5,8,733,20662.5,0.996,156
BA,76,1000,0.15,0.05,5,8,760,19962.5,0.995,248
BA,77,1000,0.15,0.05,5,8,739,19619.5,0.995,159
BA,78,1000,0.15,0.05,5,9,713,19270.5,0.991,154
BA,79,1000,0.15,0.05,5,9,753,20881.5,0.998,159
BA,80,1000,0.15,0.05,4,7,714,19165.5,0.991,120
BA,81,1000,0.15,0.05,5,8,748,19491.5,0.998,163
BA,82,1000,0.15,0.05,5,8,741,19054.5,0.993,121
BA,83,1000,0.15,0.05,4,7,746,19734.5,0.998,178
BA,84,1000,0.15,0.05,5,7,726,18474.5,0.994,152
BA,85,1000,0.15,0.05,3,6,748,20080.5,0.998,172
BA,86,1000,0.15,0.05,4,8,734,18576.5,0.993,120
BA,87,1000,0.15,0.05,5,8,758,19807.5,0.998,169
BA,88,1000,0.15,0.05,6,9,734,19460.5,0.993,226
BA,89,1000,0.15,0.05,5,8,749,20059.5,0.994,140
BA,90,1000,0.15,0.05,5,8,743,19366.5,1.0,133
BA,91,1000,0.15,0.05,6,9,734,19774.5,0.995,198
BA,92,1000,0.15,0.05,4,8,746,20684.5,0.994,136
BA,93,1000,0.15,0.05,5,7,750,19924.5,0.997,140
BA,94,1000,0.15,0.05,6,9,741,19756.5,0.998,146
BA,95,1000,0.15,0.05,4,7,743,20445.5,0.999,169
BA,96,1000,0.15,0.05,4,8,750,19975.5,0.991,135
BA,97,1000,0.15,0.05,4,7,700,19143.5,0.989,155
BA,98,1000,0.15,0.05,5,9,741,19306.5,0.995,151
BA,99,1000,0.15,0.05,6,9,736,20126.5,0.993,131
